Texas,13365.9
California,7881.3
Louisiana,4481.8
Florida,4208.5
Illinois,3871.5
Pennsylvania,3807.7
New York,3684.1
Ohio,3643.7
Georgia,2802.2
Michigan,2774.5
Indiana,2700.5
North Carolina,2503.1
Virginia,2302.6
Tennessee,2166.5
New Jersey,2134.9
Washington,2096.9
Alabama,1900.9
Minnesota,1832.3
Wisconsin,1805.8
Missouri,1726.1
Kentucky,1658.2
Oklahoma,1643.8
South Carolina,1643.6
Iowa,1559.0
Arizona,1475.4
Colorado,1462.9
Massachusetts,1424.2
Maryland,1314.7
Mississippi,1176.4
Kansas,1073.2
Arkansas,1057.6
Oregon,1032.2
Nebraska,876.0
Utah,828.7
West Virginia,756.4
Connecticut,726.4
Nevada,707.2
New Mexico,683.4
North Dakota,631.1
Alaska,608.1
Idaho,553.9
Wyoming,512.2
Montana,420.6
Maine,392.0
South Dakota,384.9
New Hampshire,317.5
Hawaii,283.4
Delaware,269.8
Rhode Island,183.9
District of Columbia,167.6
Vermont,134.8
